,
date edited,Changelog
,
2024-10-23 00:00:00,"Removed Job Express from Beginner's Guide. It's not a feature, only an event"
,Fixed Lass (T) and Mari (T) Hero Trait showing SDI instead of BDI
,Finished adding Content for Heros up to Io
,
2024-10-18 00:00:00,"Added back the condensed version of Builds [All-In-One], as per requested"
,The very last tab is a WIP. Needs a formula & expression similar to THIS to work 100%.
,Send help regarding the above.
,
2024-10-16 00:00:00,Changed Build Order To Titanic Growth Order to reduce information redundancy
,Slightly changed wording for Other Tips tab in various places.
,Revised the Job Express Recommendations in Other Tips tab
,Added Keys for Ryan (T) for World Boss & Void
,Finished adding Content for Heros up to Esnar
,
2024-10-13 00:00:00,Finished Builds for each character separately
,TBA: Change Character Icons to not have transparencies
,TBA: Trans Traits & Content RanSieg T
,
2024-10-12 00:00:00,Added Builds up to Rufus | No Trans Traits or Content Usage as of now.
,
2024-10-09 00:00:00,Added Builds up to Hwarin | No Trans Traits or Content Usage as of now.
,Rearranged the Table of Content tab. Included new pictures
,
2024-10-07 00:00:00,"WIP: Redoing Builds. Adding with Artifacts, KR T6 Traits, & Content Usage"
,To Do: Rewrite Guide to reflect changes to material and growth progression
,To Do: Downsize on the amount of images used in Icons [invisible yoo all]
,To Do: Update some character icons for prettier ones. Handsome even...
,To Do: Downsize images for quicker loading / Update the color palettes
,To Do: JCE Express Priority to reflect Callisto / Rufus (T) being added
,Added Urara to the PvE Meta tab & Equipment Tab
,
2024-10-02 00:00:00,Linked a guide to the current [In Table of Contents]
,
2024-10-01 00:00:00,Updated build for Zero
,
2024-09-25 00:00:00,"Updated Keys: Voidal (Red Comp), Exam 2, AoT, WB, & Berkas (Red Team), etc"
,Added Links to some keys that have updated videos for. (Cyan & Underlined... maybe)
,Added Urara (♥) & Ganymede (T) to Release Order
,
2024-09-21 00:00:00,Revamped the Soul Imprint tab to show a screenshot of each screenshot of preset
,Started a rework on Builds [it's more confusing ♥] due to QoL changes.
,Moved some keys around for Content Keys
,
2024-09-16 00:00:00,"Equipment: Red+Blue Weapon Enchant, Added Tia (T) & Ryan (T), Ley is CDR & Lapis Crit"
,Updated the PvE Meta list for Ryan (T)
